program point,program invariant,3.1.3,3.1.2,3.1.1,2.7.7,2.9.10,2.9.11,2.9.12,2.9.13,3.1.9,3.1.8,6.5,7.1,6.3,6.2,6.1,3.1.7,2.4.1,3.1.6,2.1.21,2.1.20,3.1.4,2.8.11,2.8.10,2.5.10,2.5.11,5.15,2.3.12,2.3.10,2.3.11,2.1.18,2.1.19,2.8.9,2.8.8,2.1.14,2.1.15,2.1.16,2.1.17,2.1.10,2.1.11,2.1.12,2.1.13,2.8.7,2.8.6,1.4.12,1.4.13,1.4.10,1.4.11,1.4.16,1.4.17,1.4.14,1.4.15,2.8.4,1.4.1,2.8.3,2.8.2,2.8.1,4.1.4,4.1.5,4.1.6,4.1.7,4.1.1,4.1.2,4.1.3,4.1.8,4.1.9,2.8.5,1.4.9,2.9.2,2.9.3,2.9.1,2.9.6,2.9.7,2.9.4,2.9.5,2.9.8,2.9.9,4.1.12,4.1.13,4.1.10,4.1.11,2.5.9,2.2.4,2.2.6,2.2.1,2.2.3,2.2.2,8.1,8.3,8.2,8.5,8.4,1.5.8,1.5.5,1.5.4,1.5.7,1.5.6,1.5.1,1.5.3,1.5.2,1.3.3,1.3.2,1.3.1,2.4.8,1.3.7,1.3.6,1.3.5,1.3.4,2.4.3,2.4.2,1.3.9,1.3.8,2.4.7,2.4.6,2.4.5,2.4.4,2.6.9,2.6.8,2.6.1,2.6.3,2.6.2,2.6.5,2.6.4,2.6.7,2.6.6,2.7.6,1.1.1,1.1.3,1.1.2,1.1.5,1.1.4,2.1.8,2.1.9,2.1.2,2.1.3,2.1.1,2.1.6,2.1.7,2.1.4,2.1.5,2.71,2.6.11,2.6.10,2.6.12,2.3.8,2.3.9,1.4.2,1.4.3,1.4.4,1.4.5,1.4.6,1.4.7,1.4.8,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.3.6,2.3.7,1.2.6,1.2.7,1.2.4,1.2.5,1.2.2,1.2.3,2.5.8,1.2.1,2.5.6,2.5.7,2.5.4,2.5.5,2.5.2,2.5.3,2.5.1,3.1.12,3.1.10,2.7.8,2.7.9,2.7.4,2.7.5,2.4.11,2.4.10,2.4.9,2.7.2,2.7.3,1.3.13,1.3.12,1.3.11,1.3.10,1.3.14
RaceList.js.constructor,"{''state'':{''list'':[''American Indian / Alaska Native'',''Asian'',''Black or African-American'',''Native Hawaiian or Other Pacific Islander'',''White'',''Other/Unknown'',''More than one race''],''open'':false},''props'':{''values'':[],''displayMax'':''4''}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basicInfo.render,"{''params'':{''values'':[{''type'':''block'',''name'':''Eligibility Criteria'',''rows'':4,''cls'':true},{''type'':''data'',''name'':''Gender'',''c_74'':''Both'',''c_78'':''Male'',''cls'':false},{''type'':''data'',''name'':''Disease State'',''c_74'':''Cancer Survivor'',''c_78'':''Generally Healthy'',''cls'':false},{''type'':''data'',''name'':''Cancer Survivors: Specified Cancer Site'',''c_74'':''Colon/Rectum'',''c_78'':''N/A'',''cls'':false},{''type'':''data'',''name'':''Other Disease State, Specify'',''c_74'':''N/A'',''c_78'':''N/A'',''cls'':false},{''type'':''block'',''name'':''Enrollment'',''rows'':6,''cls'':true},{''type'':''data'',''name'':''Year Enrollment Started'',''c_74'':2007,''c_78'':1997,''cls'':false},{''type'':''data'',''name'':''Year Enrollment Ended'',''c_74'':-1,''c_78'':1998,''cls'':false},{''type'':''data'',''name'':''Minimum Age at Enrollment'',''c_74'':18,''c_78'':45,''cls'':false},{''type'':''data'',''name'':''Maximum Age at Enrollment'',''c_74'':89,''c_78'':79,''cls'':false},{''type'':''data'',''name'':''Median Age'',''c_74'':68,''c_78'':59,''cls'':false},{''type'':''data'',''name'':''Mean Age'',''c_74'':65,''c_78'':60,''cls'':false},{''type'':''block'',''name'':''Data Collection Methods/Timing'',''rows'':12,''cls'':true},{''type'':''data'',''name'':''Frequency of Questionnaire Data Collection'',''c_74'':''Annually'',''c_78'':''1st 1997; 2nd 2008; 3th 2009;  4th is planned for 2018.'',''cls'':false},{''type'':''data'',''name'':''Most Recent Year Questionnaire Data Collected'',''c_74'':2017,''c_78'':2009,''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: In Person'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Phone'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Paper'',''c_74'':''Yes'',''c_78'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Electronic/Web Based'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method Other Specified'',''c_74'':''No'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Other Tools used for Exposure Data Collection'',''c_74'':''Yes'',''c_78'':''No'',''cls'':false},{''type'':''data'',''name'':''Other Tools used for Exposure Data Collection Other Specified'',''c_74'':''Accelerometer for physical activity'',''c_78'':''N/A'',''cls'':false},{''type'':''data'',''name'':''Most Recent Year of Cancer Ascertainment'',''c_74'':2017,''c_78'':2013,''cls'':false},{''type'':''data'',''name'':''Most Recent Year of Mortality Follow-up'',''c_74'':2017,''c_78'':2015,''cls'':false},{''type'':''array'',''name'':''Restrictions on Participating in Collaborative Projects'',''c_74'':[''Require Collaboration with Cohort Investigators'',''Require IRB Approvals'',''Require Data Use Agreements and/or Material Transfer Agreement'',''Restriction on Commercial Use''],''c_78'':[''Require Collaboration with Cohort Investigators'',''Require IRB Approvals'',''Require Data Use Agreements and/or Material Transfer Agreement''],''cls'':false}],''cohorts'':[{''cohort_id'':74,''cohort_name'':''ColoCare Consortium '',''cohort_acronym'':''ColoCare''},{''cohort_id'':78,''cohort_name'':''Cohort Of Swedish Men'',''cohort_acronym'':''COSM''}],''config'':{''width'':1110,''header'':[375,376],''f_header'':[376,376],''first_column_width'':360,''sideHeader'':[48,40,40,40,40,48,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40]}},''width'':751,''length'':2}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOME.constructor,"{''timestamp'':''Tue Sep 18 2018 00:18:57 GMT-0400 (Eastern Daylight Time)'',''match'':{''path'':''/home'',''url'':''/home'',''isExact'':true,''params'':{}},''location'':{''pathname'':''/home'',''search'':'''',''hash'':'''',''key'':''rkikr3''},''history'':{''length'':15,''action'':''POP'',''location'':{''pathname'':''/home'',''search'':'''',''hash'':'''',''key'':''rkikr3''}}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecimenList.js.constructor,"{''state'':{''list'':[''Buffy Coat and/or Lymphocytes'',''Feces'',''Saliva and/or Buccal'',''Serum and/or Plasma'',''Tumor Tissue: Fresh/Frozen'',''Tumor Tissue: FFPE'',''Urine''],''open'':false},''props'':{''values'':[],''displayMax'':''4''}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkages.js.constructor,"{''cohorts'':[78,74]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Details.js.handleAgeClick,"{''v'':''30-34'',''idx'':-1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FloatingHeader.js.render,"{''params'':{''values'':[{''type'':''block'',''name'':''Demographic Information'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Socio-economic status (e.g., income)'',''c_53'':''No'',''c_18'':''No'',''cls'':true},{''type'':''data'',''name'':''Education Level'',''c_53'':''No'',''c_18'':''No'',''cls'':true},{''type'':''data'',''name'':''Marital Status'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Language/Country of Origin'',''c_53'':''No'',''c_18'':''No'',''cls'':true},{''type'':''data'',''name'':''Employment Status'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Geocoding Information'',''title'':''Geographic coordinates of location of interest'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':true},{''type'':''data'',''name'':''Health Insurance Status'',''c_53'':''No'',''c_18'':''Yes'',''cls'':true},{''type'':''block'',''name'':''Lifestyle Information'',''rows'':12,''cls'':true},{''type'':''data'',''name'':''Anthropometry'',''title'':''Body measurements such as height, weight, or body mass index'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cigarette Smoking'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Use of Cigars'',''c_53'':''Yes'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Pipes'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Chewing Tobacco'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of E-Cigarettes'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Use of Other Tobacco Products Specified'',''c_53'':''N/A'',''c_18'':''N/A'',''cls'':false},{''type'':''data'',''name'':''Alcohol Consumption'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Intake'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Dietary Supplement Use'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Physical Activity'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Sleep Habits'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''block'',''name'':''Health Information'',''rows'':14,''cls'':true},{''type'':''data'',''name'':''Self-Reported Health'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Reproductive History'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Quality of Life'',''c_53'':''No'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Social Support'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Cognitive Function'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Depression'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Other Psychosocial Variables'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Fatigue'',''c_53'':''No'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Complementary and Alternative Medicine'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Prescription Medication Use (not-related to cancer treatment)'',''c_53'':''No'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Non-prescription Medication Use (not-related to cancer treatment)'',''c_53'':''No'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Family History of Cancer'',''c_53'':''No'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Family History of Cancer with Pedigrees'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Environmental or Occupational Exposures'',''title'':''Such as air contanminants/quality, occupational exposures and history, water source'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''block'',''name'':''Co-Morbid Conditions'',''rows'':7,''cls'':true},{''type'':''data'',''name'':''Diabetes'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Stroke'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''COPD and/or Emphysema'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Cardiovascular Disease'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Osteoporosis'',''c_53'':''Yes'',''c_18'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Mental Health'',''c_53'':''No'',''c_18'':''No'',''cls'':false},{''type'':''data'',''name'':''Cognitive Decline'',''c_53'':''No'',''c_18'':''No'',''cls'':false}],''cohorts'':[{''cohort_id'':53,''cohort_name'':''Carotene and Retinol Efficacy Trial'',''cohort_acronym'':''CARET''},{''cohort_id'':18,''cohort_name'':''Cancer Prevention Study II Nutrition Cohort'',''cohort_acronym'':''CPS-II Nutrition''}],''config'':{''width'':1110,''header'':[354,354],''f_header'':[355,354],''first_column_width'':400,''sideHeader'':[48,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40,40,40,40,40,40,40]}},''cohorts'':[{''cohort_id'':53,''cohort_name'':''Carotene and Retinol Efficacy Trial'',''cohort_acronym'':''CARET''},{''cohort_id'':18,''cohort_name'':''Cancer Prevention Study II Nutrition Cohort'',''cohort_acronym'':''CPS-II Nutrition''}],''stl'':{''width'':1110},''first_column_style'':{''height'':''39px'',''width'':''400px''}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basicInfo.render,"{''params'':{''values'':[{''type'':''block'',''name'':''Eligibility Criteria'',''rows'':4,''cls'':true},{''type'':''data'',''name'':''Gender'',''c_60'':''Female'',''c_66'':''Female'',''cls'':true},{''type'':''data'',''name'':''Disease State'',''c_60'':''N/P'',''c_66'':''Other'',''cls'':true},{''type'':''data'',''name'':''Cancer Survivors: Specified Cancer Site'',''c_60'':''N/A'',''c_66'':''N/A'',''cls'':true},{''type'':''data'',''name'':''Other Disease State, Specify'',''c_60'':''N/A'',''c_66'':''Women with and without cancer at baseline'',''cls'':true},{''type'':''block'',''name'':''Enrollment'',''rows'':6,''cls'':true},{''type'':''data'',''name'':''Year Enrollment Started'',''c_60'':1994,''c_66'':1995,''cls'':false},{''type'':''data'',''name'':''Year Enrollment Ended'',''c_60'':2009,''c_66'':1996,''cls'':false},{''type'':''data'',''name'':''Minimum Age at Enrollment'',''c_60'':18,''c_66'':22,''cls'':false},{''type'':''data'',''name'':''Maximum Age at Enrollment'',''c_60'':109,''c_66'':104,''cls'':false},{''type'':''data'',''name'':''Median Age'',''c_60'':''N/P'',''c_66'':53,''cls'':false},{''type'':''data'',''name'':''Mean Age'',''c_60'':''N/P'',''c_66'':54,''cls'':false},{''type'':''block'',''name'':''Data Collection Methods/Timing'',''rows'':12,''cls'':true},{''type'':''data'',''name'':''Frequency of Questionnaire Data Collection'',''c_60'':''Ongoing data collection from usual community practice'',''c_66'':''1995-1996, 1997, 2000-2002, 2005-2007, 2012-2014, 2013-2016, 2017-TBD'',''cls'':false},{''type'':''data'',''name'':''Most Recent Year Questionnaire Data Collected'',''c_60'':2009,''c_66'':2017,''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: In Person'',''c_60'':''Yes'',''c_66'':''No'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Phone'',''c_60'':''N/P'',''c_66'':''No'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Paper'',''c_60'':''Yes'',''c_66'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method: Electronic/Web Based'',''c_60'':''Yes'',''c_66'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Questionnaire Collection Method Other Specified'',''c_60'':''No'',''c_66'':''Electronic, mobile-enabled questionnaires from participants who provided a biospecimen in 2012-2016 biobanking project'',''cls'':false},{''type'':''data'',''name'':''Other Tools used for Exposure Data Collection'',''c_60'':''Yes'',''c_66'':''Yes'',''cls'':false},{''type'':''data'',''name'':''Other Tools used for Exposure Data Collection Other Specified'',''c_60'':''N/P'',''c_66'':''Tape measure for waist and hip measurements in 1997.'',''cls'':false},{''type'':''data'',''name'':''Most Recent Year of Cancer Ascertainment'',''c_60'':2009,''c_66'':2016,''cls'':false},{''type'':''data'',''name'':''Most Recent Year of Mortality Follow-up'',''c_60'':2009,''c_66'':2017,''cls'':false},{''type'':''array'',''name'':''Restrictions on Participating in Collaborative Projects'',''c_60'':[''N/P''],''c_66'':[''None''],''cls'':false}],''cohorts'':[{''cohort_id'':60,''cohort_name'':''Breast Cancer Surveillance Consortium Research Resource'',''cohort_acronym'':''BCSC''},{''cohort_id'':66,''cohort_name'':''California Teachers Study'',''cohort_acronym'':''CTS''}],''config'':{''width'':1110,''header'':[375,376],''f_header'':[376,376],''first_column_width'':360,''sideHeader'':[48,40,40,40,40,48,40,40,40,40,40,40,48,40,40,40,40,40,40,40,40,40,40,40,40]}},''width'':751,''length'':2}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Details.js.filterData,"{''state'':{''list'':[{''cohort_id'':74,''cohort_name'':''ColoCare Consortium '',''cohort_acronym'':''ColoCare'',''cohort_web_site'':''https://healthcare.utah.edu/huntsmancancerinstitute/clinical-trials/colocare-consortium.php'',''update_time'':''2017-10-26T04:00:00.000Z'',''race_total_total'':1587},{''cohort_id'':70,''cohort_name'':''Colon Cancer Family Registry Cohort'',''cohort_acronym'':''Colon CFR'',''cohort_web_site'':''http://www.coloncfr.org/'',''update_time'':''2017-10-13T04:00:00.000Z'',''race_total_total'':37436},{''cohort_id'':56,''cohort_name'':''Detroit Research on Cancer Survivorship'',''cohort_acronym'':''Detroit ROCS'',''cohort_web_site'':''Not Available'',''update_time'':''2017-09-11T04:00:00.000Z'',''race_total_total'':592},{''cohort_id'':47,''cohort_name'':''Lymphoma Epidemiology of Outcomes (LEO) cohort:  Molecular Epidemiology Resource Subcohort'',''cohort_acronym'':''LEO-MER'',''cohort_web_site'':''https://www.mayo.edu/research/labs/lymphoma-epidemiology/research/molecular-epidemiology-resource'',''update_time'':''2017-09-05T04:00:00.000Z'',''race_total_total'':4856},{''cohort_id'':46,''cohort_name'':''Lymphoma Epidemiology of Outcomes (LEO) cohort:  Phase 1'',''cohort_acronym'':''LEO-PHASE1'',''cohort_web_site'':''https://www.mayo.edu/research/labs/lymphoma-epidemiology/research/lymphoma-epidemiology-outcomes-study'',''update_time'':''2017-09-05T04:00:00.000Z'',''race_total_total'':3275},{''cohort_id'':45,''cohort_name'':''Pathways Study'',''cohort_acronym'':''Pathways'',''cohort_web_site'':''http://pathways.kaiser.org'',''update_time'':''2017-07-24T04:00:00.000Z'',''race_total_total'':4505},{''cohort_id'':57,''cohort_name'':''St. Jude Lifetime Cohort'',''cohort_acronym'':''SJLIFE'',''cohort_web_site'':''https://www.stjude.org/research/clinical-trials/sjlife-long-term-effects.html '',''update_time'':''2017-08-15T04:00:00.000Z'',''race_total_total'':4083},{''cohort_id'':48,''cohort_name'':''Women''s Health Initiative Cancer Survivor Cohort'',''cohort_acronym'':''WHI-CSC'',''cohort_web_site'':''https://www.whi.org/studies/LILAC/Pages/Home.aspx'',''update_time'':''2017-07-19T04:00:00.000Z'',''race_total_total'':13538}],''filter'':{''participant'':{''gender'':[],''race'':[],''ethnicity'':[],''age'':[]},''collect'':{''cancer'':[],''data'':[],''specimen'':[]},''study'':{''state'':[''Cancer Survivors Only'']}},''orderBy'':{''column'':''cohort_name'',''order'':''asc''},''pageInfo'':{''page'':1,''pageSize'':15,''total'':8},''lastPage'':1,''selected'':[],''comparasion'':false,''currTab'':0,''selectAll'':false}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer.handleCohortClick,"{''filter'':{''gender'':[''Male''],''cancer'':[''Bladder''],''cohort'':[]},''v'':null,''allIds'':[52,16,39,13,76,60,17,59,53,72,73,74,70,78,18,64,20,66,56,71,68,15,61,22,51,47,46,23,24,40,41,42,43,69,25,26,27,54,44,28,45,50,29,30,77,67,31,62,65,49,55,57,75,32,58,33,63,14,48,38,34]}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
